project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,approval_to_start_days,planned_duration_days,time_overrun_days,time_overrun_months,time_overrun_flag
400022,2026,4,0.0071337355233607,0.0010568497071645,2798.0,2439.32,37.0,0.0,2922.0,0.0,0.0,0
400022,2026,5,0.0071337355233607,0.0010568497071645,2798.0,2569.32,37.0,0.0,2922.0,0.0,0.0,0
400022,2026,6,0.0071337355233607,0.0010568497071645,2798.0,2616.51,45.0,0.0,2922.0,0.0,0.0,0
400022,2026,7,0.0004403540446519,0.0010568497071645,2798.0,1953.58,48.0,304.0,2618.0,0.0,0.0,0
400023,2025,7,0.0066053106697785,0.0359769254480602,749.0,0.0,0.0,304.0,912.0,0.0,0.0,0
400023,2025,8,0.0066053106697785,0.0359769254480602,749.0,0.0,0.0,2467.0,852.0,0.0,0.0,0
400023,2025,10,0.0066053106697785,0.0359769254480602,749.0,0.0,0.0,2467.0,852.0,0.0,0.0,0
400023,2025,11,0.0066053106697785,0.0359769254480602,749.0,0.0,0.0,2467.0,852.0,0.0,0.0,0
400023,2025,12,0.0066053106697785,0.0359769254480602,749.0,0.0,0.0,2467.0,852.0,0.0,0.0,0
400023,2026,1,0.0066053106697785,0.0359769254480602,749.0,0.94,0.0,2467.0,852.0,0.0,0.0,0
400023,2026,2,0.0066053106697785,0.0359769254480602,749.0,0.94,0.0,2467.0,852.0,0.0,0.0,0
400023,2026,3,0.0066053106697785,0.0359769254480602,749.0,0.94,0.3,2467.0,852.0,0.0,0.0,0
400023,2026,4,0.0066053106697785,0.0359769254480602,749.0,0.94,0.3,2467.0,852.0,0.0,0.0,0
400023,2026,5,0.0066053106697785,0.0359769254480602,749.0,0.94,0.0,2467.0,852.0,699.0,22.965092402464062,1
400023,2026,6,0.0066053106697785,0.0359769254480602,749.0,3.43,0.5,2467.0,852.0,699.0,22.965092402464062,1
400023,2026,7,0.0066053106697785,0.0359769254480602,749.0,3.43,0.5,2467.0,852.0,699.0,22.965092402464062,1
400035,2025,7,0.0031705491214936,0.004183363424193,656.0,465.73,84.0,304.0,912.0,0.0,0.0,0
400035,2025,8,0.0031705491214936,0.004183363424193,656.0,478.11,86.0,304.0,1188.0,273.0,8.969199178644764,1
400035,2025,10,0.0031705491214936,0.004183363424193,656.0,509.92,89.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2025,11,0.0031705491214936,0.004183363424193,656.0,519.02,90.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2025,12,0.0031705491214936,0.004183363424193,656.0,526.86,92.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2026,1,0.0031705491214936,0.004183363424193,656.0,500.52,94.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2026,2,0.0031705491214936,0.004183363424193,656.0,509.07,96.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2026,3,0.0031705491214936,0.004183363424193,656.0,537.17,96.6,0.0,1188.0,273.0,8.969199178644764,1
400035,2026,4,0.0031705491214936,0.004183363424193,656.0,537.17,97.0,0.0,1188.0,273.0,8.969199178644764,1
400035,2026,5,0.0031705491214936,0.004183363424193,656.0,541.81,97.7,0.0,1188.0,273.0,8.969199178644764,1
400043,2025,7,0.0203443568629177,0.0191113655378924,829.0,297.77,62.0,304.0,912.0,0.0,0.0,0
400043,2025,8,0.0203443568629177,0.0191113655378924,829.0,301.71,63.0,304.0,1581.0,0.0,0.0,0
400043,2025,10,0.0203443568629177,0.0191113655378924,829.0,327.86,67.0,0.0,1581.0,0.0,0.0,0
400043,2025,11,0.0203443568629177,0.0191113655378924,829.0,338.15,67.0,0.0,1581.0,0.0,0.0,0
400043,2025,12,0.0203443568629177,0.0191113655378924,829.0,339.98,69.0,0.0,1581.0,0.0,0.0,0
400043,2026,1,0.0203443568629177,0.0191113655378924,829.0,331.77,71.0,0.0,1581.0,0.0,0.0,0
400043,2026,2,0.0203443568629177,0.0191113655378924,829.0,335.37,74.0,0.0,1581.0,0.0,0.0,0
400043,2026,3,0.0203443568629177,0.0191113655378924,829.0,350.21,75.3,0.0,1581.0,0.0,0.0,0
400043,2026,4,0.0203443568629177,0.0191113655378924,829.0,350.21,76.2,0.0,1581.0,0.0,0.0,0
