project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,expenditure_to_original_cost_pct,expenditure_per_progress_pct_cr,remaining_original_cost_cr,approval_to_start_days,planned_duration_days,elapsed_duration_days,remaining_planned_days,elapsed_duration_pct,progress_per_elapsed_month,schedule_progress_gap_pct,report_year_missing,report_month_num_missing,agency_frequency_missing,state_frequency_missing,original_cost_cr_missing,cumulative_expenditure_cr_missing,physical_progress_pct_missing,expenditure_to_original_cost_pct_missing,expenditure_per_progress_pct_cr_missing,remaining_original_cost_cr_missing,approval_to_start_days_missing,planned_duration_days_missing,elapsed_duration_days_missing,remaining_planned_days_missing,elapsed_duration_pct_missing,progress_per_elapsed_month_missing,schedule_progress_gap_pct_missing,time_overrun_days,time_overrun_months,time_overrun_flag,progress_delta_recent,expenditure_delta_recent,recent_spend_efficiency_cr_pct
220100314,2025,4,0.0006605310669778,0.0073539125456867,3032.0,3423.9,69.0,112.9254617414248,1.6366008948032582,-391.9000000000001,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,1.6366008948032582
220100314,2025,5,0.0006605310669778,0.0073539125456867,3032.0,3423.9,69.0,112.9254617414248,1.6366008948032582,-391.9000000000001,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,182.0,5.979466119096509,1,0.0,0.0,1.6366008948032582
220100314,2025,6,0.0006605310669778,0.0073539125456867,3032.0,3513.09,69.0,115.86708443271768,1.6792331077205462,-481.09000000000015,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,182.0,5.979466119096509,1,0.0,89.19000000000005,1.6792331077205462
220100328,2025,4,0.0021136994143291,0.0101721784314588,1928.1,1686.57,40.0,87.47316010580364,2.186829002645091,241.53,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,365.0,11.991786447638605,1,0.0,0.0,2.186829002645091
220100328,2025,5,0.0021136994143291,0.0101721784314588,1928.1,1726.15,40.0,89.52595819718894,2.2381489549297235,201.94999999999985,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,365.0,11.991786447638605,1,0.0,39.580000000000155,2.2381489549297235
220100328,2025,6,0.0021136994143291,0.0101721784314588,1928.1,1757.75,40.0,91.16487734038692,2.279121933509673,170.3499999999999,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,365.0,11.991786447638605,1,0.0,31.59999999999991,2.279121933509673
400005,2025,7,0.0322779514729842,0.0012329913250253,4546.26,4148.46,93.0,91.24995050876984,0.9811822635351596,397.8000000000002,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,914.0,30.028747433264886,1,0.0,0.0,0.9811822635351596
400005,2025,8,0.0322779514729842,0.0012329913250253,4546.26,4172.96,93.0,91.78885501489135,0.986976935643993,373.3000000000002,181.0,335.0,1127.0,-792.0,336.4179104477612,2.5117014196983143,-243.4179104477612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914.0,30.028747433264886,1,0.0,24.5,0.986976935643993
400005,2025,10,0.0322779514729842,0.0012329913250253,4546.26,4210.3,93.0,92.61018947442513,0.9958084889723132,335.96000000000004,181.0,335.0,1188.0,-853.0,354.62686567164184,2.382733585858586,-261.62686567164184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914.0,30.028747433264886,1,0.0,37.340000000000146,0.9958084889723132
400005,2025,11,0.0322779514729842,0.0012329913250253,4546.26,4318.95,94.0,95.00006598830686,1.010638999875605,227.3100000000004,181.0,335.0,1219.0,-884.0,363.8805970149254,2.347108285479902,-269.8805970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914.0,30.028747433264886,1,1.0,108.64999999999964,100.0
400005,2025,12,0.0322779514729842,0.0012329913250253,4546.26,4358.49,95.0,95.86979187288011,1.0091557039250538,187.77000000000044,181.0,335.0,1249.0,-914.0,372.8358208955224,2.3151020816653323,-277.8358208955224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.0,32.98562628336756,1,1.0,39.539999999999964,39.539999999999964
400005,2026,1,0.0322779514729842,0.0012329913250253,4546.26,4482.15,96.0,98.58982988214488,1.0269773946056755,64.11000000000058,181.0,335.0,1280.0,-945.0,382.08955223880594,2.2828125,-286.08955223880594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.0,34.98973305954826,1,1.0,123.65999999999985,100.0
